"slug","name","category_slugs","profile"
"mario","马力欧系列","other-game","马力欧系列是由任天堂开发，以意大利水管工马力欧及其伙伴为中心人物的一系列游戏的统称。其中，以马力欧为主角的平台跳跃和箱庭探索游戏系列，官方称之为超级马力欧系列。除此之外，马力欧系列还有赛车、运动、RPG、派对游戏等子系列存在。"
"masyu","珍珠","riddle","一种纸笔谜题，规则参见 https://puzz.link/rules.html?mashu"
"meme","Meme","misc","Meme是一个网络用语，指在互联网上广泛传播的一种文化基因，通常是指一段可复制和传播的文字、图片、视频等内容。它通过模仿、复制和分享等行为在互联网上快速传播，成为一种流行的文化现象。"
"meng-de-li-an","蒙德里安","misc","蒙德里安是几何抽象画派的先驱，以几何图形为绘画的基本元素，与杜斯堡等创立了“风格派”，提倡自己的艺术“新造型主义”。 他还认为艺术应根本脱离自然的外在形式，以表现抽象精神为目的，追求人与神统一的绝对境界，也就是现在我们熟知的“纯粹抽象”。"
"meta-construction","元谜题构造","special",""
"meta-matching","元谜题匹配","special",""
"metro","地铁","geography","是城市轨道交通线路制式的一种，指在城市中修建的，快速、大运量、用电力牵引的轨道交通。列车在全封闭的线路上运行，位于中心城区的线路基本设在地下隧道内，中心城区以外的线路一般设在高架桥或地面上，英语为Metro（Underground、Subway、Tube）。 地铁是涵盖了城市地区各种地下与地上的路权专有、高密度、高运量的城市轨道交通系统，中国台湾地区的地铁系统又称“捷运”（Rapid Transit）。"
"minecraft","我的世界","other-game","一款沙盒式建筑游戏，玩家可以在一个三维世界里用各种方块建造建筑物。"
"minesweeper","扫雷","riddle","一种纸笔谜题，规则参见 https://puzz.link/rules.html?mines"
"modern-poetry","现代诗","literature-and-history","也称为“白话诗”，是指自五四运动以来，以白话作为主要表现形式的新诗。现代诗的题材广泛，内容自由，形式灵活，不拘一格。它强调个性，抒发情感，表达对社会的关注和思考。现代诗在形式上不受传统诗歌的束缚，可以自由地表达内心的感受和思考。"
"monetary-characteristics","货币特征","misc",""
"morse-code","摩尔斯电码","classical-cipher","摩尔斯电码（Morse code）是一种时通时断的信号代码，通过不同的排列顺序来表达不同的英文字母、数字和标点符号。摩尔斯电码由美国人摩尔斯于1837年发明，而关于它的起源，还有一段有趣的故事呢。据说，摩尔斯的妻子在医院用电作为信号，而他们住的地方经常停电，摩尔斯为了解决这个问题，发明了摩尔斯电码。"
"multilingual","多语种","language",""
"music-tune","音乐曲调","music","音乐曲调是构成音乐的必不可少的核心要素之一。它是通过一种能够表达一定乐思或主要旋律的歌唱性的音调来描述音乐，这种音调被称为曲调。"
"music-video","Music Video","music","音乐短片（Music Video），又名“音画”、“音乐视频”、“音乐影片”、“音乐录像”、“音乐录影带”。 是指与音乐（通常大部分是歌曲）搭配的短片，现代的音乐录像带主要是为了作为宣传音乐唱片而制作出来。"
"naked-eye-3-d","裸眼3D","steganography","裸眼3D是一种不借助外部工具，如3D眼镜或头盔，而实现立体视觉效果的显示技术。它通过特殊的显示技术和光学原理，使得观众能够看到具有深度感的立体图像。"
"national-flag","国旗","geography","国旗（National flag）是国家的一种标志性旗帜，是国家的象征，它通过一定的样式、色彩和图案反映一个国家政治特色和历史文化传统。"
"nato","北约字母表","other-cipher","北约字母表（NATO phonetic alphabet）是一种用于军事和紧急服务的通讯代码，用于在无线电通讯中清晰地发音和拼写字母。"
"network-mistake","网络迷踪","geography","《网络迷踪》是一部由阿尼什·查甘蒂执导的悬疑剧情电影，以电脑桌面为载体，讲述了一位父亲通过破解女儿社交网站密码继而展开追查的故事。"
"nintendo","任天堂","game","任天堂是一家总部位于日本京都、在海外成立多家子公司的游戏公司。其成立时产品为花札（现在仍在生产），目前主要产品为电子游戏硬件与软件。"
"nonogram","数织","riddle","一种纸笔谜题，规则参见 https://puzz.link/rules.html?nonogram"
"numlin","数连","riddle","一种纸笔谜题，规则参见https://puzz.link/rules.html?numlin"
"nurikabe","Nurikabe","riddle","一种纸笔谜题，规则参见 https://puzz.link/rules.html?nurikabe"
"or","或运算","logic-cipher","或运算是一种基本的逻辑运算，用符号“∨”表示。它的运算法则是：当两个命题中至少有一个为真时，整个命题就为真。"
"organic-chemistry","有机化学","chemistry","又称为碳化合物的化学，是研究有机化合物的组成、结构、性质、制备方法与应用的科学，是化学中极重要的一个分支。含碳化合物被称为有机化合物是因为以往的化学家们认为这样的物质一定要由生物（有机体）才能制造，然而在1828年的时候，德国化学家弗里德里希·维勒，在实验室中首次成功合成尿素（一种生物分子），自此以后有机化学便脱离传统所定义的范围，扩大为烃及其衍生物的化学。"
"other-base-system","其他进制转换","decimal","进制转换是数字和数据的一种表示方法，常用的进制有二进制、八进制、十进制和十六进制。进制转换的方法包括除基取余法、除K取余法、乘权求和法等。"
"paper-folding","折纸","solider","折纸是一种以纸张折成各种不同形状的艺术活动。折纸不只限于使用纸张，世界各地的折纸爱好者在坚持折叠规范的同时，使用了各种各样的材料，如锡箔纸、餐巾纸、醋酸薄片等。折纸大约起源于公元1世纪或者2世纪时的中国，6世纪时传入日本，再经由日本传到全世界。"
"pascal-triangle","帕斯卡三角形","mathematics","帕斯卡三角形（Pascal's Triangle）又称杨辉三角形（Yang Hui's Triangle），是二项式系数在三角形中的一种几何排列，中国南宋数学家杨辉1261年所著的《详解九章算法》一书中出现。在欧洲，帕斯卡（1623----1662）在1654年发现这一规律，所以这个表又叫做帕斯卡三角形。帕斯卡的发现比杨辉要迟393年，比贾宪迟600年。"
"past-puzzle-hunt","过去的Puzzle Hunt","special","这些题目引用了其他的puzzle hunt的内容"
"peano-curve","皮亚诺曲线","mathematics","又称希尔伯特曲线，是一条连续的可以充满整个空间的曲线。 "
"peking-university-cat-association","北大猫协","misc","北大猫协是指北京大学学生流浪猫关爱协会，成立于2006年，是在北京大学团委指导下、由学生自发组织的非营利性志愿组织。"
"pentomino","五格方块","solider","五格方块是一种智力玩具，包含由五个正方形构成的12种形状。"
"persona","人物角色","misc",""
"peter-saville","彼得萨维尔密码","other-cipher","彼得萨维尔密码是一种由彼得·萨维尔发明的加密方法，其基本原理是将明文中的每个字母与一个数字对应，从而实现加密和解密操作。具体来说，彼得萨维尔密码将字母表中的每个字母映射到一个数字，通常是从1到26。然后，通过将明文中的每个字母替换为相应的数字，可以得到密文。解密时，只需要将密文中的每个数字替换为相应的字母即可。"
"physical-geography","自然地理","geography","自然地理是研究自然地理环境的组成、结构、功能、动态及其空间分异规律的学科，是地理学的一个重要分支学科。"
"physical-symbol","物理符号","physics",""
"piano-keys","钢琴键","misc","钢琴键是指钢琴上用来敲击发出声音的按键。钢琴键由黑键和白键组成，黑键通常位于白键的两侧，每组黑键和白键以12个音为一组进行分组，其中每组黑键的数量分别为两个和三个。钢琴键的排列顺序为七个白键和五个黑键，然后再次重复七个白键和五个黑键，以此类推。"
"pictography","象形","special",""
"pigpen","猪圈密码","classical-cipher","猪圈密码（Pigpen cipher），也被称为格子密码或共济会密码，是一种简单的替代式密码。它通过将字母和数字转换成格子中的不同位置来表示信息。"
"pingshui-rhyme","平水韵","chinese","原为金代供科举考试用的官韵书。分汉字一百零六韵。元、明、清以来作近体诗时以为押韵的根据。"
"pinyin","汉语拼音","other-cipher",""
"pixel-art","像素画","misc","像素画是一种数字图像风格，通过将图像的细节和颜色限制在较小的像素范围内来创建。这种风格的图像通常用于创建像素艺术，以及在计算机游戏、应用程序和其他数字媒体中作为图标、背景和角色等元素的替代品。"
"plants-vs-zombies","植物大战僵尸","other-game","是一款塔防类的策略游戏，玩家需要通过布置植物来抵挡僵尸的进攻，保护自己的家园。"
"poetry","诗词","literature-and-history","指以古体诗、近体诗和格律词为代表的中国汉族传统诗歌。亦是汉字文化圈的特色之一。通常认为，诗较为适合“言志”，而词则更为适合“抒情”。"
"pokemon","宝可梦","other-game","宝可梦（Pokémon）是日本任天堂公司开发的一款掌机游戏系列，英文名为Pokémon，是一款集收集、培养、竞技、对战等元素于一身的经典游戏。"
"poker","扑克","chess-and-card","一种流行的纸牌游戏，其玩法包括多种不同的规则和变种。"
"postal-code","邮政编码","geography","邮政编码（也称为邮编）是由英文字母和数字组成的代码，用于表示邮件发送和接收地的邮政地址。它的目的是提高邮政服务的效率，方便邮件的分类和分拣。"
"power-point","幻灯片","application","幻灯片是一种投影技术，可以用于展示图片、文字、图表等信息。它的工作原理是利用光的反射和折射原理，将透明片上的影像通过投影机投射到屏幕上，形成清晰、明亮的图像。"
"probability","概率","mathematics",""
"protein","蛋白质代码","organism",""
"qian-ci-zao-ju","遣词造句","chinese","遣词造句是指运用词语组织句子，表达思想或情感的过程。遣词造句是语言表达能力的重要组成部分，也是写作和说话的基础。"
"qrcode","二维码","other-cipher","二维码又称二维条码，常见的二维码为QR Code，QR全称Quick Response，是一种编码方式。它比传统的Bar Code条形码能存更多的信息，也能表示更多的数据类型。"
"qwerty","QWERTY密码","classical-cipher","QWERTY是一种基于字母的密码，其中字母按照QWERTY键盘的顺序排列。这种密码通常用于计算机键盘和手机键盘上。由于这种密码易于记忆和输入，因此被广泛使用。"
"radar-chart","雷达图","misc","雷达图（Radar Chart）是一种可视化图表，也被称为蛛网图、星形图或极坐标图。它以一个中心点为起点，从中心点向外延伸出多条射线，每条射线代表一个特定的变量或指标。每条射线上的点或线段表示该变量在不同维度上的取值或得分。雷达图常用于比较多个变量在不同维度上的表现，以及展示各个变量之间的相对关系。"
"railing","栅栏密码","classical-cipher","栅栏密码（Rail Fence Cipher）是一种置换密码，即将明文分成N个一组，然后把每组的第1个字连起来，形成一段无规律的话。 不过栅栏密码本身有一个潜规则，就是组成栅栏的字母一般不会太多（一般不超过30个，也就是一、两句话）。"
"railpool","Railpool","riddle","一种纸笔谜题，规则参见 https://puzz.link/rules.html?railpool"
"rainbow","彩虹色","other-cipher","彩虹色是指彩虹的颜色，通常包括红、橙、黄、绿、青、蓝、紫七种颜色。"
"raster-animation","光栅动画","steganography","光栅动画，也称为莫尔条纹动画，是一种利用视觉暂留原理制作的动画装置。它通过将一张经过特殊处理的底图放置在一张有间隔的条纹胶片上，然后移动胶片，依次呈现出不同的帧画面，由于视觉暂留效应，大脑会自动将连续的画面串联起来，形成流畅的动画效果。"
"rebus","图谜","riddle","根据图片，进行对于图片描述内容的猜测。"
"refuse-classification","垃圾分类","misc","垃圾分类是指按照垃圾的性质、来源、成分和处置方式等因素，将垃圾分类为不同种类，并按照不同的处理方式进行管理和处理的过程。垃圾分类的目的是为了更好地利用资源、减少环境污染、提高垃圾处理效率等。"
"repeating-decimal","循环小数","mathematics",""
"resistance","电阻色","other-cipher","色环电阻识别方法是指电阻上面用了四道色环或者五道色环或者六道色环来表示电阻值 。可以从任意角度一次性的读取代表电阻值的颜色信息。"
"reverse-cipher","倒序密码","classical-cipher","倒序密码是一种密码技术，即将原始密码倒序排列后作为新的密码使用。"
"rgc-code","RGB编码","other-cipher",""
"roman-numeral","罗马数字","other-cipher","罗马数字是欧洲在阿拉伯数字传入之前使用的一种数码。"
"round-circulation","区域循环","special",""
"rubic-cube","魔方","solider","魔方，又叫鲁比克方块，最早是由匈牙利布达佩斯建筑学院厄尔诺·鲁比克教授于1974年发明的机械益智玩具。魔方拥有竞速、盲拧、单拧等多种玩法，风靡程度经久未衰，每年都会举办大小赛事，是最受欢迎的智力游戏之一。通常意义下的魔方，是指狭义的三阶魔方。三阶魔方形状通常是正方体，由有弹性的硬塑料制成。常规竞速玩法是将魔方打乱，然后在最短的时间内复原。广义的魔方，指各类可以通过转动打乱和复原的几何体。"
"school-code","学校代码","misc","学校代码是用于标识学校的特定数字或字母组合。在中国，学校代码通常由五位数字组成，前两位表示学校所属的地区，中间两位表示学校的层次和类型，后两位表示学校的顺序号。"
"semantic-transformation","语义转换","foreign-language","语义转换是一种语言处理技术，用于将一种语言的语义转换为另一种语言的语义。这种技术通常用于机器翻译、跨语言信息检索、语音识别和自然语言处理等领域。"
"semaphore","旗语","classical-cipher","旗语（英语：Flag semaphore），一种利用手旗或旗帜传递信号的沟通方式，可分单旗和双旗等两种，又称为“手旗信号”或“手旗通信”，距离较长时，借助双筒望远镜或望远镜，以延伸目视距离。"
"series","数列","mathematics",""
"seven-sins","七宗罪","misc","七宗罪（拉丁语：septem peccata mortalia，英语：seven deadly sins），天主教称七罪宗，或称七大罪或七原罪，属于天主教教义中对人类恶行的分类。归入这一类别的，能够直接形成其他不道德的行为或习惯。罪行分别为：傲慢、嫉妒、暴怒、懒惰、贪婪、暴食和色欲。"
"shadow","夏多密码","other-cipher","夏多密码是一种以圆形图案为主的加密方式，由作者麦克斯韦·格兰特在中篇小说《死亡之链》塑造夏多这一英雄人物中所自创。这种密码的特点是将纸张进行旋转和位移，以产生不同的字符位置，从而达到加密和解密的目的。"
"shang-biao-code","商标代码","misc","商标代码是指用于标识和识别商标的特定代码或符号。商标代码可以是数字、字母、图形或它们的组合，用于在商业活动中标识商品的来源和品牌。"
"shikaku","数方","riddle","一种纸笔谜题，规则参见 https://puzz.link/rules.html?shikaku"
"significance-of-8-gua","八卦","literature-and-history","是一套用三组阴阳组成的形而上的哲学符号。共有乾（☰）、坎（☵）、艮（☶）、震（☳）、巽（☴）、离（☲）、坤（☷）、兑（☱）八种。"
"single-table","单表替换密码","classical-cipher","替代密码是指先建立一个替换表，加密时将需要加密的明文依次通过查表，替换为相应的字符，明文字符被逐个替换后，生成无任何意义的字符串，即密文，替代密码的密钥就是其替换表 。"
"sinico-japanese-and-hangul","和制汉字&朝鲜国字","language","和制汉字，又称日制汉字，是日本人根据中国的六书造字法自创的文字。
朝鲜汉字(한자)，又称韩文汉字，是朝鲜语中使用的汉字。"
"skyscraper-logic","摩天楼谜题","logic-puzzle","在盘面中填入1到n之间的数字（n是盘面边长），使得每个数字在每行和每列中只出现一次。这些数字代表相应高度的摩天大楼。盘面外的数字表示从各个方向可以在相应的行或列中看到多少摩天大楼。较低的摩天大楼会被隐藏在较高的摩天大楼后面。"
"slant","Slant","riddle","一种纸笔谜题，规则参见 https://puzz.link/rules.html?gokigen"
"slither-link","数回","riddle","一种纸笔谜题，规则参见 https://puzz.link/rules.html?slither"
"snake","蛇","riddle","一种纸笔谜题，规则参见 https://puzz.link/rules.html?snake"
"sonnet","十四行诗","literature-and-history","十四行诗，又译“商籁体”。为意大利文sonetto，英文Sonnet、法文sonnet的音译。是欧洲一种格律严谨的抒情诗体。最初流行于意大利，彼特拉克的创作使其臻于完美，又称“彼特拉克体”，后传到欧洲各国。"
"spectrum-analysis","频谱分析","steganography","频谱分析是一种将复杂信号分解为较简单信号的技术。许多物理信号都可以表示为许多不同频率简单信号的和。找出一个信号在不同频率下的信息（如振幅、功率、强度或相位等）的做法即为频谱分析。"
"spring-festival-gala-show","春节联欢晚会","movie","春节联欢晚会是中国中央电视台在每年农历除夕晚上为庆祝农历新年举办的综艺性文艺晚会。它起源于1979年，正式开办于1983年，2014年被定位为国家项目。晚会涵盖小品、歌曲、歌舞、杂技、魔术、戏曲、相声等多种艺术形式，把现场观众和电视机前的观众带入到狂欢之中，打造“普天同庆，盛世欢歌”的节日景象。"
"sstv","SSTV","steganography","SSTV（Slow-Scan Television）是一种慢扫描电视技术，它主要用于传输低分辨率的图像和视频。这种技术最初是为了在传输带宽有限的条件下传输图像而开发的，现在仍然在业余无线电和其他领域中使用。"
"stacked-puzzle","叠谜","special",""
"star-battle","星战","riddle","一种纸笔谜题，规则参见 https://puzz.link/rules.html?starbattle"
"star-mansion","星宿","astronomy","中国古代天文学家为观测日、月、五星运行而划分的二十八个星区，由东方青龙、南方朱雀、西方白虎、北方玄武各七宿组成。"
"stock-symbol","股票代码","misc","一般是一个公司的一组缩写、代码或代号，用来识别某支股票。一般由英文字母、数字、或两者混和组成。"
"stroke","汉字笔画","chinese",""
"sub-puzzle","子谜题","special",""
"subject-code","学科代码","misc","学科代码是指用于标识学科的数字或者字母组合，一般用于教学、科研、课程管理等领域，以方便对学科进行分类和管理。在不同的国家或地区，学科代码的标识方式可能会有所不同。"
"sudoku","数独","riddle","一种纸笔谜题，规则参见 https://puzz.link/rules.html?sudoku"
"tangram","七巧板","solider","七巧板是一种古老的中国传统智力玩具，由七块板组成。通过拼接，这七块板可以组成许多不同的形状，如三角形、平行四边形、不规则多边形等。玩家可以将其拼成各种人物、动物、桥、房、塔等图案，也可以拼出一些中、英文字母。七巧板的历史可以追溯到公元前一世纪，起源于中国的宴几演变而来，后逐渐演变为拼图板玩具。"
"tarot","塔罗牌","misc","一种古老的占卜工具，起源于欧洲，通常由78张牌组成，分为大阿尔卡那牌和小阿尔卡那牌两类。这些牌都具有特殊的象征意义和图案，通过使用塔罗牌可以进行各种占卜和预测，包括个人运势。"
"taxonomy","生物分类","organism",""
"ternary","三进制","decimal","三进制是以3为基数的进位制，三进制数有0、1、2三个数码，逢三进一。在计算机发展的早期，采用了一种偏置了的三进制（对称三进制），有-1<一般用T表示，特殊条件下用Z或z表示>、0、1三个数码，这种三进制逢+/-2进一。"
"tetrahedron","四面体","solider","四面体是一种由四个三角形面组成的立体图形，也称为四面体体。它是一种常见的几何体，具有四个面、四个顶点和六条棱。四面体的任何一个顶点都可以与其它三个顶点相连，形成三个面。同时，任意三条边都可以构成一个平面，但任意四边都不共面。"
"text-face","颜文字","misc","颜文字是一种使用字符来模拟面部表情或情绪的文本形式。它们通常是由一系列的文字、数字或符号组成的简单图像，以表现特定的表情或情绪。"
"three-kingdoms-kill","三国杀","table-game","《三国杀》是一款中国传统的桌上游戏，以三国时期为背景，玩家扮演三国时期的武将，通过策略和技巧，在游戏中击败对手。游戏中有多种模式和玩法，包括1V1、3V3、5V5等，也有多种扩展包和卡牌，可以增加游戏的复杂性和可玩性。"
"tongue-twister","绕口令","language","绕口令又称急口令、吃口令、拗口令等。是一种民间传统的语言游戏 。"
"track-recognition","曲目识别","music-game","曲目识别是一种利用音频指纹技术识别和检索音乐曲目的应用。通过提取每首曲目的音频指纹，建立歌曲指纹库，然后对用户上传的音乐进行相似度匹配，找到匹配度最高的曲目。这种技术的应用使得用户能够快速地找到他们听过的或者想要听的音乐曲目。"
"train-number","车次","misc","车次是对不同行驶方向、不同车种、不同行驶区段和不同运行时刻的列车编订的标示码。"
"trisome","三体","novel","《三体》是刘慈欣创作的长篇科幻小说系列，讲述了地球人类文明和三体文明的信息交流、生死搏杀及两个文明在宇宙中的兴衰历程。"
"turing-machine","图灵机","mathematics","图灵机，又称图灵计算机，是一个抽象的机器。 它由英国数学家艾伦・麦席森・图灵(1912―-1954年)于1936年提出的一种抽象的计算模型，即将人们使用纸笔进行数学运算的过程进行抽象，由一个虚拟的机器替代人类进行数学运算。"
"tv-station-logo","电视台台标","misc","电视台台标是指用于标识电视台的专用符号或图形，是电视台品牌形象的重要组成部分。台标通常由图案、艺术性文字以及图文混合形式等构成，内容包括电视台名称、频道号以及频道名称等。"
"universal-standardized-chinese-character-list","通用规范汉字表","other-cipher","《通用规范汉字表》是由教育部、国家语言文字工作委员会联合组织研制的汉字使用规范，于2013年颁布，共收录8105个汉字，分为一二三三个级别，其中一级字3500个，二级字3000个，三级字1605个。"
"university-abbr","高校缩写","misc","高校缩写是指各大学的英文名称缩写，通常用于学术交流、国际合作等场合，以方便称呼和记忆。高校缩写通常由各大学英文名称中的关键词或首字母组成，有些大学会根据历史和习惯进行特定的缩写，也有些大学采用国际公认的缩写。"
"university-emblem","高校校徽","misc","高校校徽是代表学校形象和特色的标志，通常由学校名称、校徽图案、学校标志性建筑等元素构成。高校校徽通常被设计得富有特色，易于识别和记忆，体现了学校的文化底蕴和精神内涵。"
"vigenere","维吉尼亚密码","classical-cipher","维吉尼亚密码（又译维热纳尔密码）是使用一系列凯撒密码组成密码字母表的加密算法，属于多表密码的一种简单形式。"
"vocaloid","Vocaloid","misc","一款电子音乐制作语音合成软件，由日本乐器制造商雅马哈公司开发。用户可以在软件中输入音调和歌词，合成出原为人类声音的歌声。"
"weiqi","围棋","chess-and-card","围棋是一种策略性两人棋类游戏，使用格状棋盘及黑白二色棋子进行对弈。围棋子分为黑、白两色，黑子181个，白子180个。棋盘由19条横线19条竖线组成，棋子要下在线的交叉点上，方格中不能放入棋子。为了便于识别棋子的位置，棋盘上划了九个点，术语称做“星”，中央的星点又称为“天元”，下让子棋时所让之子要放在星上。"
"winter-olmpic-game","冬奥会","athletic-event","冬季奥林匹克运动会（冬季奥运会、冬奥会）主要由全世界地区举行，是世界规模最大的冬季综合性运动会，每四年举办一届，1994年起与夏季奥林匹克运动会相间举行。参与国主要分布在世界各地，包括欧洲、非洲、美洲、亚洲、大洋洲。由国际奥林匹克委员会（International Olympic Committee）主办。按实际举行次数计算届数。"
"wipo-international-outside-design-cent-class","WIPO国际外观设计分类","misc","根据《洛迦诺协定》建立的国际外观设计分类体系，由世界知识产权组织（WIPO）维护和管理。该分类体系将外观设计按照大类和小类进行分类，并给出分类号，以便于检索和管理。"
"witness","Witness","other-game","中文译名见证者，是一款于2016年发布的解谜类游戏。"
"word-formation","构词","foreign-language","构词是指根据一定的规则和习惯，将已有的词或词素组合起来构成新词的过程。构词是语言中词汇丰富和发展的途径之一，通过构词可以创造出许多具有特定含义和用途的新词，满足语言使用者表达新事物、新概念或新观点的需要。"
"word-search","字词查找","puzzles","这是一个文字搜索游戏，也被称为“字谜”或“文字解谜”。在这个游戏中，玩家被给定一个网格，通常是一个由字母组成的2D矩阵，目标是在网格中找到特定的单词或短语。玩家需要使用他们的词汇和拼写知识，以及一些逻辑推理，以识别和标记出正确的单词。"
"wordle","Wordle","puzzles","Wordle是一款免费无广告的网页填字游戏，玩法非常简单：玩家需要在6次机会中猜出一个由5个英文字母组成的英文单词，玩家猜中的字母会以绿底呈现，黄底则表示单词包含此字母但位置有误，而灰底代表字母未包含在单词内。猜中后可将通关时间、猜字次数分享到社交平台，与朋友比拼猜字速度。"
"world-of-warcraft","魔兽世界","online-game","《魔兽世界》（World of Warcraft，简称WoW）是由著名游戏公司暴雪娱乐所制作的第一款网络游戏，属于大型多人在线角色扮演游戏。魔兽世界以该公司出品的即时战略游戏《魔兽争霸》的剧情为历史背景，依托魔兽争霸的历史事件和英雄人物，魔兽世界有着完整的历史背景时间线。"
"xing-zheng-qu-hua","行政区划","geography","行政区划是国家为便于行政管理而分级划分的区域。具体来说，行政区划亦称行政区域，是国家为实施分级管理而划分的基本区域。行政区划因国家的性质、政治体制和国家发展战略而异。"
"xor","异或运算","logic-cipher","异或运算是一种数学运算，英文为exclusive OR，缩写为xor。在逻辑运算中，异或运算可以用符号“⊕”表示。"
"yajilin","仙人指路","riddle","一种纸笔谜题，规则参见 https://puzz.link/rules.html?yajilin"
"yajisan-kazusan","Yajisan-Kazusan","riddle","一种纸笔谜题，规则参见 https://puzz.link/rules.html?yajikazu"
"yin-biao","音标","language","音标是用来表示语音的符号，是语音学和音系学中用于描述语音发音的符号系统。音标符号用于表示音素，即语音的最小单位。"
"zodiac","生肖","misc","十二生肖，又叫属相，是中国与十二地支相配以人出生年份的十二种动物，包括鼠、牛、虎、兔、龙、蛇、马、羊、猴、鸡、狗、猪。"
